,高等教育深耕計畫核定經費 (一般大學),,單位：元,
類別,學校代碼,學校名稱,核定經費,
一般大學,1009,長庚大學,B類：原鄉部落社會創新大學社會實踐計畫,
一般大學,1010,元智大學,A類：艾妲資訊培力計畫,
一般大學,,,B類：桃園文化廊道  導覽＊綠社＊關懷,
一般大學,1011,中華大學,A類：驛動新埔—霄?溪沿線聚?生活場域及產業之創新研究,
一般大學,1012,大葉大學,A類：「食尚管理、農法自然」 -公益大葉食安小草養成計畫,
一般大學,,,A類：建構綠色環境教育共學基地～彰化市成功營區,
一般大學,,,A類：傳承「海牛耕蚵田」無形文化資產：創新休閒農漁業價值,
一般大學,1014,義守大學,B類：義氣相挺、義同守護原民部落,
一般大學,1017,實踐大學,A類：雙北都會區原住民青少年培力計畫,
一般大學,1019,高雄醫學大學,B類：那瑪夏人才培育與健康永續發展計畫,
一般大學,1020,南華大學,A類：建構人文療育健康快樂嘉義城鎮計畫—以大林鎮和溪口鄉為主,
一般大學,,,A類：嘉義縣六腳鄉文化聚落共榮發展計畫,
一般大學,,,B類：大林慢城營造趣,
一般大學,1021,真理大學,A類：社區文化創意產業協力實踐種子計畫,
一般大學,,,A類：結合在地特色與協助地區發展之偏鄉資訊教育推廣,
一般大學,1027,慈濟學校財團法人慈濟大學,A類：「洄瀾風華 文創加值」在地觀光精粹計畫,
一般大學,,,A類：食在永續--綠色在地公民經濟推動計畫,
一般大學,1028,臺北醫學大學,B類：精準長期照護新處方-打造高齡友善跨域聚合賦能的社區網絡,
一般大學,,,B類：輔助科技點亮身障族群生活,
一般大學,1029,中山醫學大學,A類：深耕中小學校園食安計畫,
一般大學,,,A類：關懷在地新住民，建立健康新生活,
一般大學,1033,長榮大學,A類：沿荖濃溪走莫拉克的下一哩路,
一般大學,,,A類：龍崎在地樂安居 – AGE long耆,
一般大學,,,B類：綠色社區根與芽行動在地實踐計畫-2：由大武崙社區到二仁溪流域,
一般大學,1035,中國醫藥大學,A類：中醫藥在地化推動計畫,
一般大學,,,A類：雙軌並進－建構融入中醫特色之創新社區長照服務模式,
一般大學,1039,玄奘大學,A類：新竹香山活力2.0,
一般大學,,,A類：新埔特色文創產業實踐-柿業有成設計加值計畫,
一般大學,1048,亞洲大學,A類：大學在地攜手共創阿罩霧銀髮風華-遠離失智創新整合照顧行動計畫,
一般大學,1050,佛光大學,A類：行銷頭城-頭城祭與地方創生,
一般大學,1195,馬偕醫學院,A類：三芝人文藝術的保存與推廣,
一般大學,,,A類：三芝好厝邊--活躍老化社區整合發展模式,
一般大學,,,A類：北海岸青少年品格教育培育計畫,
一般大學,,,A類：跨領域在地醫療諮詢,
,,,,
,大學社會責任補助計畫(USR)-技專校院,,,
類別,,學校名稱,USR計畫名稱,
技專校院,,國立臺灣科技大學,A,共好：走在我的身邊，成為我的夥伴
技專校院,,,C,i-villages城鄉牽手計畫
技專校院,,,B,無國界行動工程師培育計畫
技專校院,,國立臺北科技大學,B,在地「富育」計畫-牡丹鄉
技專校院,,,B,原住民部落安居構築與綠色樂業推動計畫
技專校院,,國立雲林科技大學,B,淺山農村活力復甦與文化自信建立計畫
技專校院,,,B,鄒族來吉部落的社會實踐計劃：發揮鄒族內在的文資與里山精神
技專校院,,國立高雄第一科技大學,C,春燕築巢．地方創生：從新農業出發
技專校院,,,B,義築桃花源．港都山線人文心風貌營建計畫
技專校院,,,B,活力水典寶-受污染河川再生夥伴計畫(SICA計畫)
技專校院,,,B,樂銀輪轉．輔具行動柑仔店
技專校院,,國立高雄應用科技大學,A,木與我的旅行－木料循環經濟推廣與設計
技專校院,,,A,建構高雄市大寮區『友善耕作社區合作社』
技專校院,,國立屏東科技大學,A,協力共做，重新看見「傳統領域」的生命故事
技專校院,,,B,蜂起雲湧，青年當歸--與森林共存的里山林下經濟
技專校院,,,A,青農的土地創夢事業
技專校院,,,A,讓我們野在一起原鄉公民科學家野生動物監測及傳統文化產業活化
技專校院,,國立高雄海洋科技大學,B,漁鄉關懷與產業競爭力提升計畫
技專校院,,,B,海岸地方創生－高雄永安區漁村為例
技專校院,,國立臺北商業大學,A,北部精緻有機作物青農微行銷 在地關懷共創綠金加值
技專校院,,,A,臺北寧夏夜市環保典範移轉 共創雙城街夜市綠色消費環境
技專校院,,,A,在地關懷使老者安之：以創新服務設計促進高齡福祉共創三贏
技專校院,,,A,階層翻轉--智慧實物銀行與夢想大學
技專校院,,國立臺北護理健康大學,B,鏈結區域資源實踐在地長照連續性服務模式
技專校院,,國立虎尾科技大學,B,智慧農業友善環境欣農業
技專校院,,,A,黑豆咖啡“雙豆飲”開創在地文化“豆”贏
技專校院,,,B,開創虎尾溪流域四生好環境延續性計畫
技專校院,,國立高雄餐旅大學,B,臺灣微笑可可『內埔』地方創生暨國際品牌實踐計畫
技專校院,,國立勤益科技大學,A,新社區香菇產業優化與永續計畫
技專校院,,,A,枇杷荔枝共譜太平盛世
技專校院,,國立澎湖科技大學,A,島孤人不孤：澎湖離島社區培力、關懷與服務計畫
技專校院,,,A,樂活澎湖二重奏－校園食安紮根暨社區銀髮健康教育推廣計畫
技專校院,,,B,公民產業－澎湖輕旅模式之建構
技專校院,,,A,永續農業—創造澎湖火龍果產業新紀元 (二)~(三)
技專校院,,國立臺中科技大學,A,攜手共創一中街永續生活圈
技專校院,,大仁科技大學,A,打造書香舒活宜居城： 以屏東縣長治鄉為實踐基地
技專校院,,中臺科技大學,A,建構台中大坑食在綠農、食在當地、食在安心及食在樂齡計畫
技專校院,,,A,走吧!台中三十張犁的圳路輕旅行
