,高等教育深耕計畫核定經費 (一般大學),,單位：元,,
類別,學校代碼,學校名稱,核定經費,,
技專校院,1287,敏惠醫護管理專科學校,"16,069,813",,
技專校院,1289,育英醫護管理專科學校,"10,443,024",,
技專校院,1290,崇仁醫護管理專科學校,"16,865,000",,
技專校院,1291,聖母醫護管理專科學校,"11,354,000",,
技專校院,1292,新生醫護管理專科學校,"20,960,000",,
,,,,,
,"備註：
1. 學校排序係依教育部統計處學校代碼呈現。
2. 以上經費含第一部分(主冊、附冊USR、附錄一就學協助、附錄二原住民輔導)及第二部分研究中心經費。",,,,
,,,,,
,大學社會責任補助計畫(USR)-一般大學,,,,
類別,序號,分區,學校,計畫類型,計畫名稱
一般大學,1,北北基,國立臺灣大學,大學特色類萌芽型,大學PLUStotheGalaxy：邁向全球在地學習基地的共學生態系
一般大學,,,,大學特色類萌芽型,永續【雲‧林】與食農共榮-社會創新實踐計畫
一般大學,,,,大學特色類萌芽型,全球衛生的在地參與
一般大學,2,北北基,國立陽明大學,大學特色類萌芽型,部落之星：智慧偏鄉健康培力計畫Tribalstarincubation:IntelligentHEAlthforRemoTeareas(iHEART)
一般大學,,,,大學特色類萌芽型,社區高齡活化大行動-強化體能、智能、技能之社會實踐
一般大學,3,北北基,國立臺灣師範大學,大學特色類萌芽型,深耕偏鄉教育：加廣、加深、無縫
一般大學,,,,大學特色類萌芽型,高齡者長健全方位系統升級計畫—營造永續高齡友善社區
一般大學,4,北北基,臺北市立大學,大學特色類萌芽型,推動活躍老化運動學院‧點亮都會健康樂齡活力
一般大學,,,,大學特色類萌芽型,Vision2025－TAIPEIWAY社區共生網路
一般大學,5,北北基,國立政治大學,大學特色類深耕型,「興隆安康．共好文山」大學與社區共善計畫
一般大學,,,,大學特色類萌芽型,偏鄉K-12人文藝術與科技素養提升計畫
一般大學,6,北北基,臺北醫學大學,大學特色類萌芽型,都會長照青銀共榮共享:建構高齡健康友善的101國際宜居城
一般大學,,,,大學特色類萌芽型,輔助科技點亮身障族群生活
一般大學,,,,大學特色類萌芽型,以食為TEN:從山上到平地(Territory)，從源頭到餐桌(Enterprise)，從學童到老人(Net)
一般大學,,,,大學特色類萌芽型,智齡質感生活聚落示範計畫
一般大學,7,北北基,淡江大學,大學特色類萌芽型,「農」情「食課」-無毒、有機印象淡水
一般大學,,,,大學特色類萌芽型,淡蘭海陸輕旅遊、智慧互動趴趴走
一般大學,,,,國際連結類萌芽型,淡水好生活—學習型城鄉建構計畫
一般大學,8,北北基,國立臺灣海洋大學,大學特色類萌芽型,打造國際旅遊島：和平島及其周邊之地域創生與永續發展
一般大學,,,,大學特色類萌芽型,逗陣來貢寮-打造共生共存共享的山海美境
一般大學,,,,大學特色類萌芽型,智慧樂活水產村
一般大學,,,,國際連結類萌芽型,三漁興旺-國際藍色經濟示範區
一般大學,9,北北基,國立臺北大學,大學特色類萌芽型,臺北大學城社會實踐萌芽計畫：邁向共學、共融與公共化
一般大學,,,,大學特色類萌芽型,環抱海山．深耕三峽：北大文化城的創生與活化
一般大學,10,北北基,國立臺北藝術大學,大學特色類萌芽型,Hi-FivePlus:從北投平埔族群到屏東原住民的國際藝術對話
一般大學,11,北北基,大同大學,大學特色類萌芽型,差異群體友善環境之建構與精進—以啟明學校之需求為關懷核心
一般大學,12,北北基,中國文化大學,大學特色類萌芽型,共創光明頂:陽明山綠能創生與社區轉型行動計畫
一般大學,13,北北基,國立臺灣藝術大學,大學特色類萌芽型,以大觀創藝聚落開展社區美學實踐計畫
一般大學,,,,大學特色類萌芽型,社會企業的藝術設計應援團
一般大學,,,,大學特色類萌芽型,文化河流文資串流－淡水河區域歷史紋理與文化資產保存計畫
一般大學,14,桃竹苗宜花,國立聯合大學,大學特色類萌芽型,石?椄黥ヵS色生活共享模式建構計畫
一般大學,15,桃竹苗宜花,長庚大學,大學特色類萌芽型,社區兒少創新實踐計畫--早期療育與兒少健康促進
一般大學,,,,大學特色類萌芽型,偏鄉與人口老化社區健康照護體系建構
一般大學,16,桃竹苗宜花,國立清華大學,大學特色類萌芽型,新竹區域接地支持實驗室
一般大學,,,,大學特色類萌芽型,〝S+T+ARTS〞跨學科教育與在地自然生態文創活氧計畫
一般大學,17,桃竹苗宜花,中華大學,大學特色類萌芽型,驛動新埔–啟動霄裡溪沿線聚落的三生創新
一般大學,18,桃竹苗宜花,元智大學,大學特色類萌芽型,艾妲資訊培力
一般大學,,,,大學特色類萌芽型,桃園文化廊道-導覽?記錄?共生
一般大學,,,,大學特色類萌芽型,寰宇文化領航
一般大學,19,桃竹苗宜花,國立中央大學,大學特色類萌芽型,從閱讀泰雅到興趣驅動部落學習
一般大學,,,,大學特色類萌芽型,永續「復興」-打造智慧韌性部落
一般大學,,,,大學特色類萌芽型,楊梅社會影響力工程再造計畫
一般大學,,,,大學特色類萌芽型,藝文浸潤永續社區—中壢平鎮在地文化的紮根與共榮
一般大學,,,,國際連結類深耕型,桃海三生-型塑桃園海岸環境與人文發展永續共生
一般大學,20,桃竹苗宜花,中原大學,大學特色類深耕型,大梨救小校農創社企新生命-卓蘭「雙連梨」農產興業計畫(二)
一般大學,,,,大學特色類萌芽型,團結經濟、文化夥伴-桃園大海社區文化創生計畫II-台日軍事文化創生連結
一般大學,,,,國際連結類萌芽型,從霄裡鏈接桃園兩圳文化綠廊之永續經營計畫
一般大學,21,桃竹苗宜花,國立宜蘭大學,大學特色類萌芽型,實踐里山精神?建構永續農村
一般大學,,,,大學特色類萌芽型,Tayal(大同、南澳)原鄉部落產業亮點計畫
一般大學,22,桃竹苗宜花,國立東華大學,大學特色類深耕型,比鄰共好─在地韌性之永續培力行動計畫
一般大學,,,,大學特色類萌芽型,科技翻轉、永續培力：洄瀾共好在地創新計畫
一般大學,23,桃竹苗宜花,國立體育大學,大學特色類萌芽型,健身指導讓卓蘭地區健康樂齡，運動科學為桃園地區競技育才
一般大學,24,桃竹苗宜花,慈濟大學,大學特色類萌芽型,『生活生產觀光合一』光復鄉地方創生培力計畫
一般大學,25,中彰投,大葉大學,大學特色類萌芽型,實踐里山精神-八卦台地聚落產業共創共學計畫
一般大學,,,,大學特色類萌芽型,「食尚管理、農法自然」(第二期)-台灣茶(TWT)產業鑫人才培育2.0計畫
一般大學,26,中彰投,中山醫學大學,大學特色類萌芽型,宜居石岡，永續健康
一般大學,27,中彰投,中國醫藥大學,大學特色類萌芽型,預防與照護雙軌續航：以人為本的智慧長照x具溫度的科技中醫
一般大學,28,中彰投,亞洲大學,大學特色類萌芽型,打造高齡失智友善城鎮:失智識能x瑞智升級x智能輔助
一般大學,29,中彰投,東吳大學,大學特色類萌芽型,老士林新共生－跨世代社區慢老計畫
一般大學,,,,大學特色類萌芽型,前世與今生—再現士林昔日百年風華
一般大學,30,中彰投,東海大學,大學特色類深耕型,社區高齡服務支持系統的實踐：大學社區共作與國際連結
一般大學,,,,大學特色類萌芽型,大肚山地方教育創生
一般大學,31,中彰投,國立中興大學,大學特色類深耕型,浪愛齊步走：流浪動物減量與福祉實踐
一般大學,,,,大學特色類萌芽型,清流部落賽德克族風華再現計畫
一般大學,32,中彰投,靜宜大學,大學特色類深耕型,建構幸福銀髮生態圈
一般大學,33,中彰投,逢甲大學,大學特色類萌芽型,大學伴‧偏鄉善：打造銀享智融的移動服務影響圈
一般大學,,,,大學特色類萌芽型,綠色諧能?循環永續之國際共好計畫
一般大學,,,,大學特色類萌芽型,部落創生的參與者共保系統計畫
一般大學,,,,大學特色類萌芽型,臺中市文化城中城地方創生計畫
一般大學,34,中彰投,國立彰化師範大學,大學特色類萌芽型,深耕芳苑攜手大城：彰化雙城之產業與環境永續計畫
一般大學,,,,大學特色類萌芽型,白沙×共好教育：十二年國教深耕偏鄉教育計畫
一般大學,,,,大學特色類萌芽型,社頭織襪-創新、創業、創生
一般大學,35,中彰投,國立暨南國際大學,大學特色類深耕型,永續環境推動與人才培育計畫:深耕水沙連x開拓東南亞x邁向SDGs
一般大學,,,,大學特色類萌芽型,翻轉偏鄉教育的方法—建構鄉村教育協力隊網絡平台與行動策略
一般大學,,,,國際連結類萌芽型,地方產業創生與永續發展--南投縣鄉村旅遊深耕計畫
一般大學,36,中彰投,國立臺中教育大學,大學特色類萌芽型,新生活實驗室．舊城區永續－社企實踐創新育成國際平台計畫
一般大學,,,,大學特色類萌芽型,〈世代攜手‧城市共榮──中教「大學城」之大學社會責任實踐計畫〉
一般大學,37,雲嘉南,國立中正大學,大學特色類萌芽型,重構大學路：認識、認同與共同行動
一般大學,,,,大學特色類萌芽型,植種‧結晶‧昇華—雲嘉地區中小學科學教育揚升計畫
一般大學,,,,國際連結類萌芽型,竹光發熱綠金計畫-臺灣竹業展風華
一般大學,38,雲嘉南,國立成功大學,大學特色類萌芽型,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新
一般大學,,,,大學特色類萌芽型,惡地協作：淺山地區之區域創生與跨域實踐
一般大學,,,,大學特色類萌芽型,以微生物科技導入台南市農業區的智慧新農業
一般大學,,,,國際連結類深耕型,相伴2026：齡感生活微社群行動網
一般大學,40,雲嘉南,國立臺南大學,大學特色類萌芽型,為偏鄉而教─打造七股偏鄉教育補給站
一般大學,41,雲嘉南,國立臺南藝術大學,大學特色類萌芽型,臺南山區地方弱勢產業振興計畫—行銷、文創、有機
一般大學,42,雲嘉南,長榮大學,大學特色類萌芽型,相約檨仔腳-走向整全的社區經濟與照顧之路
一般大學,,,,大學特色類萌芽型,惡地護老在龍崎—青銀共好AgeLong
一般大學,,,,大學特色類萌芽型,打造台南「社創矽谷」-佈建新化歷史街區社會創新與經濟永續
一般大學,,,,國際連結類萌芽型,綠色社區根與芽行動計畫-從在地到國際
一般大學,43,雲嘉南,南華大學,國際連結類萌芽型,以慢城意涵推動宜居城鎮生活
一般大學,44,高屏澎東,高雄醫學大學,大學特色類深耕型,那瑪夏地區及高雄原鄉永續發展計畫
一般大學,,,,大學特色類萌芽型,樂活高雄˙健康城市－小港區環境教育與健康促進永續發展計畫
一般大學,45,高屏澎東,國立中山大學,大學特色類萌芽型,產學合創?在地共融-建構大學合作式培力推廣服務計畫
一般大學,,,,大學特色類深耕型,城市是一座共事館-鑲嵌於社會紋理的社區實踐TheCityasaCommuseum-SociallyEmbeddedCommunityEngagement
一般大學,,,,國際連結類萌芽型,教育知識在地化與實踐場域全球化：由高雄舊港新灣出發
一般大學,46,高屏澎東,國立屏東大學,大學特色類萌芽型,搖滾社會力：在地關懷為導向的社會企業與公益實踐培力計畫
一般大學,,,,大學特色類萌芽型,讓生命不同凡「想」-屏東身心障礙成人服務友善環境的建置
一般大學,,,,大學特色類萌芽型,朱雀先驅:屏東偏鄉三師共學模式
一般大學,,,,大學特色類萌芽型,多元文化產業推進器-屏東地方創生實踐計畫
一般大學,47,高屏澎東,國立高雄師範大學,大學特色類萌芽型,小民再造市集再生
一般大學,48,高屏澎東,國立臺東大學,大學特色類萌芽型,臺東Y計畫-共創部落好旅遊
一般大學,,,,大學特色類萌芽型,都蘭之蘭調創生
一般大學,49,高屏澎東,義守大學,大學特色類萌芽型,義守原鄉攜手共進～幸福、健康、宜居新莊園
一般大學,,,,大學特色類萌芽型,以智慧生技導入健康創客小將養成計畫
,,,,,
,大學社會責任補助計畫(USR)-技專校院,,,,
類別,序號,分區,學校,計畫類型,計畫名稱
技專校院,1,北北基,明志科技大學,大學特色類萌芽型,北臺首學帶狀文物館行動計畫
技專校院,,,,大學特色類萌芽型,新北產業鏈結經濟永續發展計畫
技專校院,2,北北基,東南科技大學,大學特色類萌芽型,淡蘭古道南路綠色旅遊培力起飛計畫
技專校院,3,北北基,致理科技大學,大學特色類萌芽型,女王的呼召—野柳國際旅遊實驗基地
