高等教育深耕計畫核定經費 (一般大學),,,,
類別,學校代碼,學校名稱,核定經費,
,,,單位：元,
一般大學,96,國立彰化師範大學,大學特色類萌芽型,白沙×共好 深耕在地向前行
一般大學,97,國立暨南國際大學,大學特色類萌芽型,暨大「相遇東南亞」的啟示：共耘RAMTAU香料共和園
一般大學,98,國立暨南國際大學,大學特色類萌芽型,Walk Tall：戶外教育學習生態系統創新計畫
一般大學,99,國立暨南國際大學,大學特色類萌芽型,水沙連未來教育行動聯盟
一般大學,100,國立暨南國際大學,永續發展類國際合作型,水沙連產業永續發展計畫-產業鏈結x跨域人才x國際合作
一般大學,101,國立暨南國際大學,永續發展類特色永續型,綠色水沙連永續價值與人才培育升級計畫：科技x循環x淨零
一般大學,102,逢甲大學,大學特色類萌芽型,中寮行動-倡議偏鄉群落生境的社會影響力
一般大學,103,逢甲大學,大學特色類萌芽型,臺中市文化城中城地方創生計畫：生活故事書院
一般大學,104,逢甲大學,大學特色類萌芽型,安居樂業-打造永續韌性部落的教育示範場域
一般大學,105,逢甲大學,永續發展類國際合作型,農村減碳-綠色諧能鏈結國際永續共好行動
一般大學,106,靜宜大學,大學特色類萌芽型,淺山精靈的守護：生物多樣性的行動倡議與環境教育實踐
一般大學,107,靜宜大學,大學特色類深耕型,建構具韌性的幸福銀髮生態圈
一般大學,108,長榮大學,大學特色類萌芽型,相約檨仔腳-走向整全的社區經濟與照顧之路2.0
一般大學,109,長榮大學,永續發展類國際合作型,綠色社區根與芽行動計畫-從在地到國際
一般大學,110,南華大學,大學特色類萌芽型,推動碳中和農業
一般大學,111,南華大學,永續發展類國際合作型,擴散慢城意涵－營造永續宜居城鄉生活
一般大學,112,國立中正大學,大學特色類萌芽型,共創長者幸福人生：科際整合人權實踐方案
一般大學,113,國立成功大學,大學特色類萌芽型,長短樹下的微風-環境療癒場域之建構
一般大學,114,國立成功大學,大學特色類深耕型,惡地協作2.0：H.E.A.R.T.串起共學、共做、共感的淺山心生活
一般大學,115,國立成功大學,永續發展類國際合作型,相伴2026：互為主體、互利共好、底蘊再創
一般大學,116,國立成功大學,永續發展類特色永續型,台南400年：從倒風內海到東原山林溪北傳統特色產業的升級之路：復振與新生
一般大學,117,國立嘉義大學,大學特色類萌芽型,加糖笑瞇瞇─懸絲偶天團與糖文化的永續計畫
一般大學,118,國立嘉義大學,大學特色類萌芽型,跨域STEAM 雙語+E 共譜嘉鄉好樂章
一般大學,119,國立臺南大學,大學特色類萌芽型,幸福集氣，讓愛延續
一般大學,120,國立臺南大學,大學特色類萌芽型,為偏鄉而教—打造七股偏鄉教育補給站3.0
一般大學,121,高雄醫學大學,大學特色類萌芽型,永續荖濃人才培育與健康發展計畫
一般大學,122,高雄醫學大學,大學特色類萌芽型,青銀攜手健康促進_旗津區銀髮及長照產業優化加值發展計畫
一般大學,123,高雄醫學大學,大學特色類深耕型,空污下的大學社會責任-環境教育與健康促進永續發展計畫
一般大學,124,高雄醫學大學,永續發展類國際合作型,永續不只一夏－那瑪夏及國際原鄉永續發展計畫
一般大學,125,國立中山大學,大學特色類萌芽型,作為NATIVE博物館的霧台-原民社會自然文化共構之永續學習計畫
一般大學,126,國立中山大學,大學特色類深耕型,產學合創·跨域實踐：共構地方永續協作平台
一般大學,127,國立中山大學,永續發展類國際合作型,邁向永續轉型：城市共事館的全球在地實踐
一般大學,128,國立屏東大學,大學特色類萌芽型,屏東地方創生式：共學、共作與共生實踐計畫
一般大學,129,國立屏東大學,大學特色類萌芽型,朱雀先驅：屏東偏鄉三師共學模式
一般大學,130,國立屏東大學,大學特色類深耕型,讓生命不同凡「想」-身心障礙成人賦能(empowerment)支持
一般大學,131,國立高雄大學,大學特色類萌芽型,韌性社區自主防災與永續城市培力計畫
一般大學,132,國立高雄師範大學,大學特色類萌芽型,原民築夢創生機—瑪家鄉原民產業創新加值
一般大學,133,國立高雄師範大學,大學特色類萌芽型,惡地社會學：高雄月世界地方創生實踐與永續社區聯動網培力計畫
一般大學,134,國立高雄師範大學,大學特色類萌芽型,小民再造 市集再生
一般大學,135,國立臺東大學,大學特色類萌芽型,從我到我們：大學與社區跨域共做共好社會實踐計畫
一般大學,136,國立臺東大學,大學特色類萌芽型,都蘭之蘭調創生—友善土地的共作共好
一般大學,137,國立臺東大學,大學特色類深耕型,臺東Y-2計畫：共創山海沙城好未來
,,,,
大學社會責任補助計畫(USR)-技專校院,,,,
類別,序號,學校名稱,計畫類型,計畫名稱
技專校院,1,中國科技大學,大學特色類萌芽型,共創深坑文化永續韌性社區與多元加值計畫
技專校院,2,中國科技大學,大學特色類萌芽型,台北市黎安里社區微旅行 - 邀約鳥語、花香、人情為伴
技專校院,3,中華科技大學,大學特色類萌芽型,環境認知調研與空間裝置實作之社會性實踐-以基隆為行動基地
技專校院,4,中華科技大學,大學特色類萌芽型,”原“創教育–原民技藝文化推廣
技專校院,5,台北海洋科技大學,大學特色類萌芽型,魅力士社-深耕活化生態社子島
技專校院,6,台北海洋科技大學,大學特色類萌芽型,銀造在地健康關懷青銀樂活俱樂部-共創共學、友善高齡、健康福祉實踐推動計畫
技專校院,7,宏國德霖科技大學,大學特色類萌芽型,青銀創生暨培力養成計畫-社創大頂埔:從零開始的夢想
技專校院,8,亞東科技大學,大學特色類萌芽型,翻轉社區高齡復健患者及應用於醫療院所與遠距科技照護大行動
技專校院,9,亞東科技大學,大學特色類萌芽型,新北師生資訊科技增能計畫
技專校院,10,明志科技大學,大學特色類萌芽型,Co-op Design—走入三角湧社區文化生活實驗
技專校院,11,明志科技大學,大學特色類萌芽型,新北產業永續發展2.0
技專校院,12,明志科技大學,大學特色類深耕型,北臺首學帶狀文物館深耕計畫
技專校院,13,東南科技大學,大學特色類萌芽型,淡蘭市場科技數位文旅典藏服務培力計畫
技專校院,14,致理科技大學,大學特色類萌芽型,女王的呼召—萬金國際旅遊實驗共生協作平台
技專校院,15,致理科技大學,大學特色類萌芽型,青銀微社群就醫陪伴社區共好計畫
技專校院,16,耕莘健康管理專科學校,大學特色類萌芽型,「足好」-照顧者身心適能健康促進計畫
