Date,open,open_1,close_1,high_1,low_1,volume_1,avg_price_5,avg_price_30,avg_price_365,ration_avg_price_5_30,ratio_avg_price_5_365,ratio_avg_price_30_365,avg_volume_5,avg_volume_30,avg_volume_365,ratio_avg_volume_5_30,ration_avg_volume_5_365,ratio_avg_volume_30_365,std_price_5,std_price_30,std_price_365,ratio_std_price_5_30,ratio_std_price_5_365,ratio_std_price_30_365,return_1,return_5,return_30,return_365,moving_avg_5,moving_avg_30,moving_avg_365,close
2000-05-19,10771.8,10764.22,10626.85,10764.22,10570.65,188270000.0,10490.188,10594.71761904762,10628.189999999999,0.9901337984827748,0.9870154748833058,0.996850603823193,188130000.0,171806190.47619048,226452539.68253967,1.0950129298517433,0.8307701042511448,0.7586852005150524,118.02096220234603,144.91484567599545,360.18499926198314,0.8144159533952823,0.3276676220391473,0.40233448359294555,0.007996167910040843,0.03180914319891571,0.01836962729847942,-0.06271608901809148,0.0004070651545385655,0.0002694279460865216,-0.00018709709439043042,10777.28
2000-05-18,10930.64,10771.8,10777.28,10864.32,10764.26,161220000.0,10580.86,10605.167142857143,10626.10880952381,0.997707990592726,0.995741732901958,0.9980292252750228,183498000.0,171420000.0,226241626.98412699,1.0704585229261463,0.8110708999315769,0.7576854988407008,131.70563844870742,149.94703574823194,357.7848425404479,0.8783477298600776,0.36811408083565744,0.4190983460437687,0.014155652898083656,0.043913552216599955,0.020784554416433714,-0.04640524379431832,0.006335873843912168,0.0009340684701464944,-0.00018380652026099827,10769.74
2000-05-17,10816.01,10930.64,10769.74,10930.64,10752.61,169570000.0,10627.738000000001,10620.42619047619,10624.20865079365,1.0006884666766356,1.0003321987850915,0.9996439772182771,172342000.0,168394761.9047619,225791190.47619048,1.023440385262521,0.7632804434775915,0.7457986361187064,151.65937217722117,149.59651073143124,355.731433486573,1.0137895024135515,0.42633109672312813,0.42053216738598315,-0.0006996199412097368,0.02224795569202726,0.030666169025676412,-0.04256892870033374,0.008687745759782832,0.0010483182203771995,-0.00011497035201536245,10934.57
2000-05-16,10606.97,10816.01,10934.57,10971.24,10816.01,181920000.0,10730.198,10630.890476190476,10623.092182539682,1.0093414116185224,1.0100823579067082,1.0007340888619616,177310000.0,168667142.85714287,225624801.58730158,1.0512420913549085,0.7858621869253721,0.7475558611932122,151.1958827786161,163.56328063786864,354.3055930693254,0.9243876876825787,0.42673862828079107,0.46164464755108997,0.015304919153108611,0.04915435888726729,0.020508977285666023,-0.025084879350066723,0.0044518969677841665,0.0015045511718859454,-9.908114347993838e-05,10807.78
2000-05-13,10549.06,10606.97,10807.78,10811.55,10605.26,155810000.0,10783.244,10636.596666666666,10622.833492063492,1.0137870540671061,1.0151005386704361,1.0012956217955837,171358000.0,168165714.2857143,225441309.52380952,1.018982975976078,0.7601002689434004,0.7459401058347465,109.74810262238415,167.69157358554193,354.1461848182914,0.6544640274748215,0.3098949172040205,0.47350947369822066,-0.011595334795972686,0.025158049997391657,0.01121169167146178,-0.00599560193764893,0.009659558412343724,0.0010233418664851157,-2.682560083067704e-05,10609.37
2000-05-12,10369.27,10549.06,10609.37,10673.79,10543.92,137770000.0,10779.748,10636.002857142857,10621.77015873016,1.01351495902999,1.0148730238848178,1.0013399554123283,161258000.0,167336190.47619048,225387896.82539684,0.9636767727358099,0.7154687641675946,0.7424364521481924,116.07170055277346,167.76850186995858,353.781098264656,0.6918563333345102,0.32808903901910197,0.4742155606754734,-0.018358071685396986,-0.001644890066200197,-0.0011739962191107515,-0.024634721940034836,0.005032357044810144,0.0005905993340079128,4.8498755493543134e-05,10545.97
2000-05-11,10533.09,10369.27,10545.97,10575.1,10369.27,185720000.0,10733.486,10635.134285714286,10620.677539682538,1.0092478112305385,1.0106215879256264,1.001361188679134,166158000.0,169668095.23809522,225431547.6190476,0.9793119900758624,0.737066314608225,0.7526368737210376,156.39354024129426,168.20541945483137,353.5875110010024,0.9297770591945227,0.4423050457821484,0.475710861445993,-0.005975849649885097,-0.02146274384631385,-0.0017265843825520113,-0.025444239191003692,-0.00023849087427742222,1.0951661050280107e-05,-2.5941982910875627e-05,10367.78
2000-05-10,10607.54,10533.09,10367.78,10533.09,10292.1,225970000.0,10653.094000000001,10623.406666666668,10618.524126984128,1.0027945210293496,1.0032556193876343,1.0004598134000686,177438000.0,173916666.66666666,225574404.76190478,1.0202472448490656,0.7866052010080086,0.7709946828862823,222.45668978296024,178.0459453668954,353.46820311043626,1.2494341801749462,0.6293541762042362,0.5037113488572194,-0.01689650169685659,-0.0373230922937786,-0.02320318520905279,-0.049737682439938244,-0.004264791383871173,-1.5250053642925637e-05,-2.9218525445985757e-05,10536.75
2000-05-09,10571.31,10607.54,10536.75,10684.85,10514.25,166320000.0,10573.53,10617.122380952382,10617.21369047619,0.9958941434987518,0.9958855786697244,0.9999913998600319,174318000.0,173442380.95238096,225390277.7777778,1.0050484722523467,0.7734051429310886,0.769520241345039,158.58984251577826,178.69442013477655,353.155419690783,0.8874918556279775,0.4490652944095744,0.5059937075048668,0.016297606623597274,-0.03638186046639234,-0.012369806312284825,-0.030388387574100586,-0.007504167735000544,-0.0010445483577910138,-0.0001289527619095713,10603.63
2000-05-06,10409.7,10571.31,10603.63,10627.85,10522.07,144180000.0,10532.7,10607.159047619047,10616.103055555555,0.9929803025216484,0.9921437221248612,0.9991575055470258,171992000.0,172954285.7142857,225199365.07936507,0.9944361846235175,0.7637321710005103,0.76800521019823,97.8525109497585,172.97660482649442,352.75447886607793,0.5656979511646112,0.2773955167466715,0.4903597691587763,0.006347308230716227,-0.018889170578971947,-0.019350107187182795,-0.025715968469730906,-0.00730563024090281,-0.000513699139376683,-4.847281210615541e-05,10577.86
